2024-09-25 00:30:02,253 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-09-25 00:30:02,337 [main] INFO  com.vulnerable - Starting vulnerable v0.0.1-SNAPSHOT using Java 17.0.6 with PID 201878 (/home/kali/Documents/eclipse-workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp2/wtpwebapps/vulnerable/WEB-INF/classes started by root in /opt/eclipse/eclipse)
2024-09-25 00:30:02,349 [main] DEBUG com.vulnerable - Running with Spring Boot v3.3.4, Spring v6.1.13
2024-09-25 00:30:02,351 [main] INFO  com.vulnerable - No active profile set, falling back to 1 default profile: "default"
2024-09-25 00:30:03,843 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-25 00:30:03,851 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-09-25 00:30:03,988 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 128 ms. Found 0 JDBC repository interfaces.
2024-09-25 00:30:04,009 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-25 00:30:04,010 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-25 00:30:04,078 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 54 ms. Found 0 JPA repository interfaces.
2024-09-25 00:30:04,626 [main] INFO  o.a.c.c.C.[.[.[/VulnerableWebApp] - Initializing Spring embedded WebApplicationContext
2024-09-25 00:30:04,629 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2201 ms
2024-09-25 00:30:04,857 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-09-25 00:30:05,188 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-09-25 00:30:05,191 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
